DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME
1,1/6/2025 12:00:00 AM,AA,19805,AA,1038,N849NN,11618,31703,EWR,11057,31057,CLT,1913,1947,34.00,34.00,1.00,2,1900-1959,16.00,4.00,2120,2129,9.00,9.00,0.00,0,2100-2159,0.00,,0.00,N,127.00,102.00,82.00,1.00,529.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1039,N535UW,11003,31003,CID,11057,31057,CLT,0500,0453,-7.00,0.00,0.00,-1,0001-0559,13.00,15.00,0825,0824,-1.00,0.00,0.00,-1,0800-0859,0.00,,0.00,N,145.00,151.00,123.00,1.00,742.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1040,N665AW,11057,31057,CLT,14524,34524,RIC,1455,1520,25.00,25.00,1.00,1,1400-1459,16.00,18.00,1605,1635,30.00,30.00,1.00,2,1600-1659,0.00,,0.00,N,70.00,75.00,41.00,1.00,257.00,2,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1040,N665AW,14524,34524,RIC,11057,31057,CLT,1653,1706,13.00,13.00,0.00,0,1600-1659,51.00,19.00,1819,1907,48.00,48.00,1.00,3,1800-1859,0.00,,0.00,N,86.00,121.00,51.00,1.00,257.00,2,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1041,N90024,11298,30194,DFW,12896,32896,LBB,1636,1736,60.00,60.00,1.00,4,1600-1659,23.00,3.00,1745,1847,62.00,62.00,1.00,4,1700-1759,0.00,,0.00,N,69.00,71.00,45.00,1.00,282.00,2,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1041,N90024,12896,32896,LBB,11298,30194,DFW,1827,1920,53.00,53.00,1.00,3,1800-1859,8.00,11.00,1954,2025,31.00,31.00,1.00,2,1900-1959,0.00,,0.00,N,87.00,65.00,46.00,1.00,282.00,2,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1042,N922AN,13871,33316,OMA,11057,31057,CLT,0600,0557,-3.00,0.00,0.00,-1,0600-0659,11.00,22.00,0947,0924,-23.00,0.00,0.00,-2,0900-0959,0.00,,0.00,N,167.00,147.00,114.00,1.00,913.00,4,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1043,N823AW,11057,31057,CLT,14576,34576,ROC,2240,2323,43.00,43.00,1.00,2,2200-2259,22.00,4.00,0028,0104,36.00,36.00,1.00,2,0001-0559,0.00,,0.00,N,108.00,101.00,75.00,1.00,573.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1044,N350RV,13303,32467,MIA,10397,30397,ATL,2030,2028,-2.00,0.00,0.00,-1,2000-2059,31.00,5.00,2244,2232,-12.00,0.00,0.00,-1,2200-2259,0.00,,0.00,N,134.00,124.00,88.00,1.00,594.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1045,N902AN,13303,32467,MIA,10397,30397,ATL,1700,1802,62.00,62.00,1.00,4,1700-1759,15.00,15.00,1902,2004,62.00,62.00,1.00,4,1900-1959,0.00,,0.00,N,122.00,122.00,92.00,1.00,594.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1046,N713UW,10397,30397,ATL,13303,32467,MIA,1107,1058,-9.00,0.00,0.00,-1,1100-1159,16.00,8.00,1317,1253,-24.00,0.00,0.00,-2,1300-1359,0.00,,0.00,N,130.00,115.00,91.00,1.00,594.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1046,N713UW,13303,32467,MIA,10397,30397,ATL,0820,0815,-5.00,0.00,0.00,-1,0800-0859,20.00,6.00,1020,1006,-14.00,0.00,0.00,-1,1000-1059,0.00,,0.00,N,120.00,111.00,85.00,1.00,594.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1047,N358PW,13930,30977,ORD,12889,32211,LAS,0836,0836,0.00,0.00,0.00,0,0800-0859,43.00,5.00,1041,1043,2.00,2.00,0.00,0,1000-1059,0.00,,0.00,N,245.00,247.00,199.00,1.00,1514.00,7,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1048,N966AN,11298,30194,DFW,10721,30721,BOS,1545,1546,1.00,1.00,0.00,0,1500-1559,14.00,6.00,2014,2005,-9.00,0.00,0.00,-1,2000-2059,0.00,,0.00,N,209.00,199.00,179.00,1.00,1562.00,7,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1049,N329SL,10397,30397,ATL,13303,32467,MIA,0850,0837,-13.00,0.00,0.00,-1,0800-0859,23.00,8.00,1101,1042,-19.00,0.00,0.00,-2,1100-1159,0.00,,0.00,N,131.00,125.00,94.00,1.00,594.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1050,N8031M,11298,30194,DFW,10599,30599,BHM,2110,0105,235.00,235.00,1.00,12,2100-2159,15.00,5.00,2257,0235,218.00,218.00,1.00,12,2200-2259,0.00,,0.00,N,107.00,90.00,70.00,1.00,597.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1052,N339PL,11057,31057,CLT,13930,30977,ORD,1304,1343,39.00,39.00,1.00,2,1300-1359,15.00,10.00,1412,1445,33.00,33.00,1.00,2,1400-1459,0.00,,0.00,N,128.00,122.00,97.00,1.00,599.00,3,
